Scam Type,Scam Type.1,Threat Type,Medium Used,Target Actions,Common Phrases/Examples,Unnamed: 6
Debt Collection Scams,Asks for donations to fake causes or charities.,Financial,Pop-ups,Invest in fake opportunity,You owe $500. Pay immediately.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Phone,Pay for fake services,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Phone,Claim prize by paying fee,Your account is compromised. Act now!,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Pop-ups,Pay for fake services,Invest now and double your money.,
Extortion Scams,Tricks victims into providing sensitive information.,Financial,Pop-ups,Pay for fake services,You owe $500. Pay immediately.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Dating Apps,Provide personal information,Invest now and double your money.,
Investment Scams,Asks for donations to fake causes or charities.,Financial/Emotional,SMS,Pay ransom,I need money for an emergency.,
Romance Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Email,Claim prize by paying fee,I need money for an emergency.,
Charity Scams,Asks for donations to fake causes or charities.,Emotional,Phone,Pay ransom,Your account is compromised. Act now!,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Email,Claim prize by paying fee,This is a charity drive. Donate now.,
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Legal,SMS,Invest in fake opportunity,Invest now and double your money.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Personal,Pop-ups,Send money or gifts,Invest now and double your money.,
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Email,Claim prize by paying fee,I need money for an emergency.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Legal,SMS,Invest in fake opportunity,I need money for an emergency.,
Investment Scams,Impersonates police or government to claim unpaid fines.,Financial,SMS,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Email,Pay ransom,Your device is infected. Call us to fix it.,
Charity Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Social Media,Provide personal information,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Pop-ups,Invest in fake opportunity,This is a charity drive. Donate now.,
Romance Scams,Asks for donations to fake causes or charities.,Financial/Personal,Phone,Pay ransom,Confirm your account details to avoid suspension.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Phone,Send money or gifts,"Help me, I'm in trouble.",
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Pop-ups,Donate to fake charity,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Legal,SMS,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Charity Scams,Threatens to release personal data unless ransom is paid.,Financial,SMS,Send money or gifts,Confirm your account details to avoid suspension.,
Romance Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Email,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Romance Scams,Promotes fake investment opportunities to steal money.,Legal,Dating Apps,Pay ransom,Your device is infected. Call us to fix it.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Dating Apps,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Phone,Claim prize by paying fee,"Help me, I'm in trouble.",
Charity Scams,Exploits online relationships to demand money or gifts.,Personal,Phone,Pay ransom,I need money for an emergency.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Social Media,Pay ransom,This is a charity drive. Donate now.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Dating Apps,Provide personal information,You owe $500. Pay immediately.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Dating Apps,Claim prize by paying fee,Invest now and double your money.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Financial,Dating Apps,Claim prize by paying fee,You owe $500. Pay immediately.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Dating Apps,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Email,Provide personal information,You owe $500. Pay immediately.,
Tech Support Scams,Asks for donations to fake causes or charities.,Legal,Dating Apps,Make payment to avoid legal trouble,Invest now and double your money.,
Lottery Scams,Asks for donations to fake causes or charities.,Personal,Pop-ups,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,SMS,Send money or gifts,I need money for an emergency.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Pop-ups,Pay ransom,You owe $500. Pay immediately.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Financial,Social Media,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,SMS,Pay fine to avoid arrest,Your account is compromised. Act now!,
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Phone,Invest in fake opportunity,This is a charity drive. Donate now.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Emotional,Phone,Provide personal information,I need money for an emergency.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Pop-ups,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Pop-ups,Invest in fake opportunity,Your account is compromised. Act now!,
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Email,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Personal,Pop-ups,Pay ransom,Invest now and double your money.,
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Phone,Invest in fake opportunity,I need money for an emergency.,
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,SMS,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Promotes fake investment opportunities to steal money.,Emotional,SMS,Invest in fake opportunity,Your account is compromised. Act now!,
Charity Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Phone,Claim prize by paying fee,You owe $500. Pay immediately.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Personal,Dating Apps,Provide personal information,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Social Media,Donate to fake charity,"Help me, I'm in trouble.",
Charity Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Phone,Claim prize by paying fee,Your account is compromised. Act now!,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Personal,Dating Apps,Pay for fake services,Confirm your account details to avoid suspension.,
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Personal,Pop-ups,Pay fine to avoid arrest,Your device is infected. Call us to fix it.,
Investment Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Email,Pay fine to avoid arrest,Your account is compromised. Act now!,
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Emotional,Dating Apps,Provide personal information,Your device is infected. Call us to fix it.,
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Financial,Email,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Tricks victims into providing sensitive information.,Personal,SMS,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Asks for donations to fake causes or charities.,Financial,Email,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Impersonation Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Phone,Provide personal information,Invest now and double your money.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Phone,Donate to fake charity,Confirm your account details to avoid suspension.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Phone,Send money or gifts,I need money for an emergency.,
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Emotional,SMS,Send money or gifts,This is a charity drive. Donate now.,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Personal,Social Media,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Dating Apps,Pay fine to avoid arrest,Invest now and double your money.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Email,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Social Media,Provide personal information,I need money for an emergency.,
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Emotional,Social Media,Invest in fake opportunity,"Help me, I'm in trouble.",
Lottery Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Email,Invest in fake opportunity,Invest now and double your money.,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,SMS,Claim prize by paying fee,Your account is compromised. Act now!,
Debt Collection Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Social Media,Make payment to avoid legal trouble,I need money for an emergency.,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Phone,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Social Media,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Asks for donations to fake causes or charities.,Emotional,Pop-ups,Provide personal information,I need money for an emergency.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Financial,SMS,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Asks for donations to fake causes or charities.,Emotional,Social Media,Pay ransom,I need money for an emergency.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Dating Apps,Send money or gifts,Your account is compromised. Act now!,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Financial,SMS,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Legal,Pop-ups,Pay ransom,Confirm your account details to avoid suspension.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Financial,Email,Provide personal information,Your account is compromised. Act now!,
Romance Scams,Tricks victims into providing sensitive information.,Financial,Dating Apps,Pay fine to avoid arrest,Invest now and double your money.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Legal,SMS,Donate to fake charity,This is a charity drive. Donate now.,
Romance Scams,Asks for donations to fake causes or charities.,Personal,Phone,Claim prize by paying fee,Your account is compromised. Act now!,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Dating Apps,Provide personal information,I need money for an emergency.,
Charity Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Pop-ups,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Pop-ups,Provide personal information,Your account is compromised. Act now!,
Investment Scams,Asks for donations to fake causes or charities.,Financial,Pop-ups,Pay fine to avoid arrest,Your account is compromised. Act now!,
Charity Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Email,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Financial,Pop-ups,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Debt Collection Scams,Asks for donations to fake causes or charities.,Personal,SMS,Pay ransom,Your account is compromised. Act now!,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Legal,Phone,Provide personal information,Confirm your account details to avoid suspension.,
Impersonation Scams,Tricks victims into providing sensitive information.,Emotional,Phone,Invest in fake opportunity,Your account is compromised. Act now!,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Email,Pay ransom,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Impersonates police or government to claim unpaid fines.,Personal,Pop-ups,Pay fine to avoid arrest,I need money for an emergency.,
Extortion Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Social Media,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Legal,Phone,Claim prize by paying fee,You owe $500. Pay immediately.,
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Social Media,Pay ransom,Invest now and double your money.,
Investment Scams,Impersonates police or government to claim unpaid fines.,Financial,Email,Send money or gifts,Your account is compromised. Act now!,
Romance Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Dating Apps,Send money or gifts,"Help me, I'm in trouble.",
Charity Scams,Threatens to release personal data unless ransom is paid.,Legal,Phone,Claim prize by paying fee,"Help me, I'm in trouble.",
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Phone,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Legal,Phone,Pay ransom,Your account is compromised. Act now!,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Phone,Pay for fake services,You owe $500. Pay immediately.,
Romance Scams,Promotes fake investment opportunities to steal money.,Financial,Social Media,Donate to fake charity,This is a charity drive. Donate now.,
Phishing Scams,Tricks victims into providing sensitive information.,Personal,SMS,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,SMS,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Emotional,Dating Apps,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,SMS,Pay ransom,Invest now and double your money.,
Phishing Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Email,Claim prize by paying fee,I need money for an emergency.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Legal,SMS,Pay ransom,This is a charity drive. Donate now.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Social Media,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Pop-ups,Pay ransom,This is a charity drive. Donate now.,
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Social Media,Invest in fake opportunity,Invest now and double your money.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Financial,Email,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Charity Scams,Asks for donations to fake causes or charities.,Legal,Social Media,Provide personal information,You owe $500. Pay immediately.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Phone,Claim prize by paying fee,Invest now and double your money.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Email,Donate to fake charity,"Help me, I'm in trouble.",
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Dating Apps,Send money or gifts,Confirm your account details to avoid suspension.,
Phishing Scams,Tricks victims into providing sensitive information.,Financial/Personal,Phone,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Personal,Phone,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial/Personal,Dating Apps,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Personal,Pop-ups,Pay for fake services,"Help me, I'm in trouble.",
Phishing Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Phone,Claim prize by paying fee,You owe $500. Pay immediately.,
Lottery Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Claim prize by paying fee,This is a charity drive. Donate now.,
Impersonation Scams,Asks for donations to fake causes or charities.,Personal,Email,Claim prize by paying fee,Invest now and double your money.,
Debt Collection Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,SMS,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Financial,Email,Pay for fake services,Invest now and double your money.,
